model_name,plant_species,precision,recall,f1_score
mobilenet_121,Anabasis articulata (Forssk.) Moq.,0.6470588235294118,0.14012738853503184,0.23036649214659685
mobilenet_121,Anabasis setifera Moq.,0.1597222222222222,0.3087248322147651,0.21052631578947367
mobilenet_121,Atriplex halimus L.,0.3125,0.35,0.330188679245283
mobilenet_121,Calotropis procera (Aiton) W.T.Aiton,0.7560975609756098,0.14761904761904762,0.24701195219123506
mobilenet_121,Capparis spinosa L.,0.3047619047619048,0.1893491124260355,0.23357664233576642
mobilenet_121,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0.058823529411764705,0.03571428571428571,0.044444444444444446
mobilenet_121,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0.5,0.08235294117647059,0.1414141414141414
mobilenet_121,Deverra tortuosa (Desf.) DC.,0.2,0.046153846153846156,0.075
mobilenet_121,Deverra triradiata Hochst. ex Boiss.,0.10714285714285714,0.1,0.10344827586206896
mobilenet_121,Diplotaxis harra (Forssk.) Boiss.,0.6634615384615384,0.2633587786259542,0.3770491803278688
mobilenet_121,Echinops glaberrimus DC.,0.16071428571428573,0.1956521739130435,0.17647058823529413
mobilenet_121,Ephedra alata Decne.,0.07407407407407407,0.21428571428571427,0.11009174311926606
mobilenet_121,Farsetia aegyptia Turra,0.417910447761194,0.12389380530973451,0.19112627986348124
mobilenet_121,Gymnocarpos decander Forssk.,0.7217391304347827,0.3018181818181818,0.4256410256410256
mobilenet_121,Haloxylon salicornicum (Moq.) Bunge ex Boiss.,0.22448979591836735,0.06790123456790123,0.10426540284360189
mobilenet_121,Heliotropium arbainense Fresen.,0.4489795918367347,0.4036697247706422,0.4251207729468599
mobilenet_121,Iphiona mucronata (Forssk.) Asch. & Schweinf.,0.0,0.0,0.0
mobilenet_121,Limonium pruinosum (L.) Chaz.,0.5,0.34959349593495936,0.41148325358851673
mobilenet_121,Lycium shawii Roem. & Schult.,0.22338568935427575,0.512,0.3110571081409477
mobilenet_121,Nitraria retusa (Forssk.) Asch.,0.3069306930693069,0.12653061224489795,0.1791907514450867
mobilenet_121,Ochradenus baccatus Delile,0.6130198915009042,0.6660117878192534,0.6384180790960452
mobilenet_121,Peganum harmala L.,0.15384615384615385,0.019230769230769232,0.03418803418803419
mobilenet_121,Rumex vesicarius L.,0.45652173913043476,0.10194174757281553,0.16666666666666666
mobilenet_121,Salsola imbricata Forssk.,0.6666666666666666,0.07630522088353414,0.13693693693693693
mobilenet_121,Stachys aegyptiaca Pers.,0.5087719298245614,0.21641791044776118,0.3036649214659686
mobilenet_121,Suaeda aegyptiaca (Hasselq.) Zohary,0.0945945945945946,0.03723404255319149,0.05343511450381679
mobilenet_121,Tamarix nilotica (Ehrenb.) Bunge,0.3076923076923077,0.6744186046511628,0.4225865209471767
mobilenet_121,Trichodesma africanum (L.) Sm.,0.25510204081632654,0.10416666666666667,0.14792899408284024
mobilenet_121,Zilla spinosa (L.) Prantl,0.8511904761904762,0.27552986512524086,0.4163027656477438
mobilenet_121,Zygophyllum arabicum (L.) Christenh. & Byng,0.1165644171779141,0.20430107526881722,0.1484375
mobilenet_121,Zygophyllum coccineum L.,0.06432748538011696,0.23404255319148937,0.10091743119266056
mobilenet_121,Zygophyllum molle (Delile) Christenh. & Byng,0.0,0.0,0.0
mobilenet_121,Average Performance (Macro),0.3398778077340246,0.2052607943350379,0.21552987544715152
mobilenet_122,Anabasis articulata (Forssk.) Moq.,0.6557377049180327,0.12738853503184713,0.21333333333333335
mobilenet_122,Anabasis setifera Moq.,0.16906474820143885,0.31543624161073824,0.22014051522248243
mobilenet_122,Atriplex halimus L.,0.36036036036036034,0.4,0.3791469194312796
mobilenet_122,Calotropis procera (Aiton) W.T.Aiton,0.7659574468085106,0.17142857142857143,0.2801556420233463
mobilenet_122,Capparis spinosa L.,0.3023255813953488,0.23076923076923078,0.26174496644295303
mobilenet_122,Cebatha pendula (J.R.Forst. & G.Forst.) Kuntze,0.0625,0.03571428571428571,0.045454545454545456
mobilenet_122,"Cenchrus divisus (J.F.Gmel.) Verloove, Govaerts & Buttler",0.4666666666666667,0.08235294117647059,0.14
mobilenet_122,Deverra tortuosa (Desf.) DC.,0.2,0.03076923076923077,0.05333333333333334
mobilenet_122,Deverra triradiata Hochst. ex Boiss.,0.11538461538461539,0.1,0.10714285714285714
