checkpoint,accuracy,macro_precision,macro_recall,macro_f1,selected_for_phase2
121,0.24230438521066208,0.3398778077340246,0.2052607943350379,0.21552987544715152,False
122,0.236457437661221,0.3343491691076287,0.2028339544868189,0.2138422979063744,False
123,0.25124677558039554,0.3418314558219401,0.21254609739176752,0.22168960280992106,False
124,0.2569217540842648,0.33791499457919927,0.21783244696602788,0.2257213685787579,False
125,0.24453998280309544,0.33140635417483477,0.21201894194406068,0.22050090688347154,False
126,0.25520206362854686,0.3383958067449663,0.22139009672369783,0.23110479477632123,False
127,0.26655202063628547,0.33871041633274546,0.22675377801296692,0.23467461672048284,True
128,0.25176268271711094,0.3445077019017482,0.21578966354154022,0.22761440327788598,False
129,0.24883920894239037,0.33708146420752383,0.21490234304180833,0.22356009483559205,False
130,0.2534823731728289,0.34533828899705554,0.21419916459727567,0.22335042396044585,False
