common_macro_f1_rank,candidate_id,branch,branch_label,checkpoint,selection_reasons,wadidegla_val_accuracy,wadidegla_val_macro_recall,wadidegla_val_macro_f1,wadidegla_val_loss,common_images,common_accuracy,common_macro_precision,common_macro_recall,common_macro_f1,common_delta_accuracy_pp,common_delta_macro_f1_pp,complementary_set,complementary_images,complementary_accuracy,complementary_macro_recall,complementary_macro_f1,complementary_delta_macro_f1_pp,worst5_mean_recall,worst5_mean_f1,worst10_mean_recall,worst10_mean_f1,species_recall_improved,species_recall_declined,species_recall_unchanged,checkpoint_bundle,source_summary
1,top_30_215,top_30,Top 30 %,215,Highest WadiDegla Validation Recall; Historical selected checkpoint,0.8937872023809524,0.9148212019055568,0.9039062811183706,0.4254992293437824,3414,0.7302284710017575,0.651148664944238,0.6524265594264423,0.6404072069819757,27.62155828939661,26.42370916892781,top_30_complementary,4616,0.6070190641247833,0.5353281254695119,0.5328002768699316,24.100263213920098,0.4022328326118904,0.448746711564769,0.4190389790672176,0.4427587671047107,31,1,0,training_states/training_states_top_30_211_220.pkl,top_val_summary/mobilenetv2_stageF_top_30_val_summary211_220.csv
2,top_30_220,top_30,Top 30 %,220,Final epoch,0.8895089285714286,0.9126697963029696,0.903418498289328,0.4387273854792911,3414,0.7308142940831869,0.6503438635259244,0.64814931138959,0.6391285976171578,27.68014059753955,26.29584823244602,top_30_complementary,4616,0.6035528596187175,0.5273407608196843,0.531098097027787,23.930045229705637,0.3991776122048708,0.4370350275507916,0.4238029112422067,0.4417503644205272,31,1,0,training_states/training_states_top_30_211_220.pkl,top_val_summary/mobilenetv2_stageF_top_30_val_summary211_220.csv
3,top_30_199,top_30,Top 30 %,199,Highest WadiDegla Validation Accuracy; Highest WadiDegla Validation Precision; Highest WadiDegla Validation F1; Lowest WadiDegla Validation Loss,0.8941592261904762,0.9140226708827954,0.905760041539722,0.4169499532062126,3414,0.7214411247803163,0.6213575825000459,0.6278292355253148,0.6135628759002792,26.74282366725249,23.739276060758165,top_30_complementary,4616,0.595103986135182,0.5155773685514305,0.512568652740084,22.07710080093534,0.3341875904186275,0.3714717694306638,0.37656419883119,0.3964346768728256,28,2,2,training_states/training_states_top_30_196_210.pkl,top_val_summary/mobilenetv2_stageF_top_30_val_summary196_210.csv
4,lowest_30_216,lowest_30,Bottom 30 %,216,Highest WadiDegla Validation Recall; Highest WadiDegla Validation F1; Historical selected checkpoint,0.8883928571428571,0.9066724196601216,0.9019170781373604,0.4328110278881381,3414,0.6798476859988284,0.6064019654245805,0.6223449164345457,0.6060288783458347,22.5834797891037,22.985876305313713,lowest_30_complementary,4613,0.6594407110340342,0.5998420178430981,0.5917204364166107,30.801741186114285,0.5098944996883594,0.4615153725160894,0.4959755442946341,0.4564852003937482,27,5,0,training_states/training_states_lowest_30_216_220.pkl,lowest_val_summary/mobilenetv2_stageF_lowest_30_val_summary216_220.csv
5,lowest_30_220,lowest_30,Bottom 30 %,220,Final epoch,0.8859747023809524,0.9029643147595124,0.8986365849785304,0.4451459066674813,3414,0.6798476859988284,0.5977618572148427,0.6145685358830562,0.5975371314006929,22.5834797891037,22.136701610799527,lowest_30_complementary,4613,0.6572729243442446,0.5939682867089725,0.5846187150644191,30.091569050895128,0.5045897496011574,0.4446050420168067,0.4883145043124943,0.4422556945068168,27,5,0,training_states/training_states_lowest_30_216_220.pkl,lowest_val_summary/mobilenetv2_stageF_lowest_30_val_summary216_220.csv
6,lowest_30_196,lowest_30,Bottom 30 %,196,Highest WadiDegla Validation Accuracy; Lowest WadiDegla Validation Loss,0.8889508928571429,0.9044408149356666,0.9002056079427704,0.4046118879843258,3414,0.669302870533099,0.5957524999519274,0.6075213485481847,0.5914489328571966,21.52899824253076,21.527881756449897,lowest_30_complementary,4613,0.6477346629091697,0.5817172985844308,0.575535126314926,29.183210175945817,0.5033191713222134,0.4502039311415019,0.4846842469606628,0.4496190968973412,25,7,0,training_states/training_states_lowest_30_191_200.pkl,lowest_val_summary/mobilenetv2_stageF_lowest_30_val_summary191_200.csv
7,lowest_30_215,lowest_30,Bottom 30 %,215,Highest WadiDegla Validation Precision,0.8865327380952381,0.9028965460233191,0.9002015256249947,0.4245273908103454,3414,0.666373755125952,0.5960951836266719,0.6059152714309559,0.590470128379913,21.23608670181606,21.430001308721536,lowest_30_complementary,4613,0.6490353349230435,0.5866933249664527,0.5805437676480684,29.684074309260055,0.4980984783938792,0.4280344443575036,0.4836705138322396,0.4358959507334295,26,6,0,training_states/training_states_lowest_30_201_220.pkl,lowest_val_summary/mobilenetv2_stageF_lowest_30_val_summary201_220.csv
